trade_date,captured_at,captured_time,sector_type,sector_code,sector_name,change_pct,main_net_inflow_yuan,main_net_inflow_billion,main_net_ratio,super_large_net_inflow_yuan,large_net_inflow_yuan,medium_net_inflow_yuan,small_net_inflow_yuan,leading_stock,source,data_mode
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801080,半导体,-0.16,240000000.0,2.4,0.3,124800000.0,67200000.0,-31200000.0,-21600000.0,示例芯片,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801081,电子,-0.1,-280000000.0,-2.8,-0.35,-145600000.0,-78400000.00000001,36400000.0,25200000.0,示例电子,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801770,通信,0.04,-600000000.0,-6.0,-0.75,-312000000.0,-168000000.00000003,78000000.0,54000000.0,示例通信,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801771,通信设备,-0.36,-320000000.0,-3.2,-0.4,-166400000.0,-89600000.00000001,41600000.0,28800000.0,示例光模块,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801750,计算机,-0.26,-740000000.0,-7.4,-0.93,-384800000.0,-207200000.00000003,96200000.0,66600000.0,示例软件,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801760,传媒,-0.41,-1860000000.0000002,-18.6,-2.33,-967200000.0000001,-520800000.0000001,241800000.00000003,167400000.00000003,示例传媒,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801751,软件开发,-0.64,-1080000000.0,-10.8,-1.35,-561600000.0,-302400000.0,140400000.0,97200000.0,示例平台,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801730,电池,-0.93,-2600000000.0,-26.0,-3.25,-1352000000.0,-728000000.0000001,338000000.0,234000000.0,示例电池,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801731,电力设备,-0.86,-3120000000.0,-31.2,-3.9,-1622400000.0,-873600000.0000001,405600000.0,280800000.0,示例电气,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801732,光伏设备,-1.05,-2240000000.0,-22.4,-2.8,-1164800000.0,-627200000.0000001,291200000.0,201600000.0,示例光伏,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801780,银行,-0.34,-960000000.0,-9.6,-1.2,-499200000.0,-268800000.0,124800000.0,86400000.0,示例银行,SAMPLE,SAMPLE
2026-01-16,2026-01-16 09:35:00,09:35:00,行业资金流,801950,煤炭,-0.17,-1180000000.0,-11.8,-1.48,-613600000.0,-330400000.00000006,153400000.0,106200000.0,示例煤炭,SAMPLE,SAMPLE
